company,industry,cashout,returns
康蒂尼药业,化药创新药,2018年启动香港IPO,投资2200万；预期回报 >5亿
凯因科技,创新及首仿药,2019年启动国内IPO,投资1000万；预期回报3000万
北海康成,创新药,2018年启动香港IPO,投资1000万；预期回报4000万
康乃德生物,创新药,2018年启动香港IPO,投资2063万；预期回报1亿
华昊中天,化药创新药,2019年并购退出,投资  780万；预期回报>2000万
五和博澳,中药创新药,2022年启动国内IPO,投资6000万；预期回报>3亿
滨会生物,生物创新药,2020年启动香港IPO,投资2000万；预期回报>2亿
硕佰医药,化药创新药,2024年启动香港IPO,投资2675万；预期回报>3亿
翰思生物,生物创新药,2020年并购退出,投资1000万；预期回报4000万
爱博诺德,创新器械,2019年启动国内IPO,投资5000万；预期回报>2亿
华脉泰科,创新器械,2021年启动国内IPO,投资  700万；预期回报4000万
美康基因,创新器械,2020年并购退出,投资2000万；预期回报3000万
科维思生物,创新器械,2020年并购退出,投资  250万；预期回报1000万
安睿信息,医疗软件,2020年并购退出,投资  400万；预期回报1000万
天仕博科技,教育互联网,2020年启动国内IPO,投资 4100万；预期回报1亿
