company,industry,cashout,returns,notes
贝达药业,化药创新药,已创业板IPO,投资3772万；股票市值约3.5亿,
康蒂尼药业,化药创新药,2018年启动香港IPO,投资1309万；预期回报 >4亿,
宁波天衡,化药普药,已被福安药业收购,投资2119万；现金+股票>4000万,
南京圣和,化药创新药,2018年启动国内IPO,投资  900万；预期回报3000万,
珅奥基药业,中药创新药,2018年启动香港IPO,投资1552万；预期回报6000万,
华昊中天,化药创新药,2019年并购退出,投资2500万；预期回报>1亿,
中美华世通,原料药及普药,2018年内股权转让,投资1890万；预期回报2500万,
丰越环保,环保,已被鼎立股份收购,投资1500万；现金回报6625万,
中矿环保,环保,2018年内管理层回购,投资  300万；预期回报400万,
中棉种业,农业,2020年并购退出,投资1549万；预期回报2500万,
后谷咖啡,农业,2018年内管理层回购,投资2000万；预期回报>3000万,
钢研纳克,技术服务,2018年启动国内IPO,投资  200万；预期回报>1000万,
